,Channel_id,Channel_title,Created_date,Video_count,Views_count,Subscription_count,Subscription_count_hidden,Country
53,UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs,2011-06-22T13:34:20Z,1456,32820857834,36200000,False,US
54,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,2012-04-15T04:13:36Z,1001,6311089516,36100000,False,MX
55,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,2012-11-22T10:36:15Z,9220,19929980034,35700000,False,IN
56,UCb2HGwORFBo94DmRx4oLzow,One Direction,2010-12-03T11:45:50Z,157,11383251448,35500000,False,NA
57,UC3MLnJtqc_phABBriLRhtgQ,SonyMusicIndiaVEVO,2009-09-02T23:38:43Z,3135,18107335116,35300000,False,NA
58,UClZkHt2kNIgyrTTPnSQV3SA,Get Movies,2006-12-16T19:24:29Z,2962,25631099718,35300000,False,RU
59,UC_gV70G_Y51LTa3qhu8KiEA,LUCCAS NETO - LUCCAS TOON,2014-07-31T04:07:52Z,1336,15697956827,34500000,False,BR
60,UCRv76wLBC73jiP7LX4C3l8Q,Маша и Медведь,2011-05-31T09:32:03Z,940,28159644369,34000000,False,RU
61,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,2014-06-06T15:24:36Z,402,18109090373,34000000,False,IN
62,UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,2006-03-09T03:19:51Z,160,18002694163,33800000,False,NA
63,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,2014-08-05T05:21:03Z,3472,17650737729,33800000,False,BR
64,UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,2008-07-16T02:11:59Z,154315,41226130860,33700000,False,PH
65,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,2011-05-16T22:30:49Z,368,17401525568,33500000,False,US
66,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial,2012-11-05T04:27:20Z,54711,29991947503,33200000,False,TH
67,UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,2014-06-09T02:50:42Z,93,15213567473,33200000,False,PR
68,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,2016-03-24T19:55:58Z,125,18199743356,33000000,False,PR
69,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,2005-10-16T09:08:20Z,252,20577755132,32700000,False,NA
70,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,2008-03-02T19:25:21Z,6489,13963266647,32300000,False,NA
71,UCHkj014U2CQ2Nv0UZeYpE_A,JustinBieberVEVO,2009-09-26T03:46:15Z,184,22727582982,32200000,False,US
72,UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION,2015-06-23T01:27:37Z,106,8175773651,31900000,False,US
73,UCWi_65E_L8tQZ34C6wVAlpQ,Venus,2005-09-22T06:32:31Z,4443,13057260468,31800000,False,IN
74,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,2006-09-19T01:34:43Z,78,14192747804,30800000,False,NA
75,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,2016-03-17T20:35:54Z,582,28330913073,30800000,False,US
76,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,2009-06-23T16:00:48Z,165678,5564357290,30800000,False,NA
77,UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin,2011-02-18T17:37:59Z,77,17829690332,30600000,False,CO
78,UCwHE1kM1CPJd_pI9FQ0-4dg,shfa,2015-03-29T08:55:45Z,667,16021531483,30500000,False,AE
79,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,2016-11-16T03:28:16Z,164,2774210946,30500000,False,MX
80,UCa10nxShhzNrCE1o2ZOPztg,Trap Nation,2012-09-23T03:23:23Z,2172,12141531165,30000000,False,US
81,UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,2007-09-01T11:44:51Z,7234,16475397146,30000000,False,IN
82,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,2011-08-14T20:13:26Z,910,9623370006,30000000,False,GB
